"DISPATCHED","DESCRIPTION","ADDRESS","GRID","REPORT"
"04-24-2023 11:36 AM","STOLEN VEHICLE","1500 BLOCK N DALE MABRY HWY","121","171347"
"04-24-2023 11:32 AM","INFORMATION","1800 BLOCK E WOOD ST","30","171316"
"04-24-2023 11:31 AM","DISABLED VEHICLE","BRUCE B DOWNS BLVD / E COUNTY LINE RD","247","171346"
"04-24-2023 11:30 AM","RESID/COMMERIAL ALARM","3100 BLOCK W AZEELE ST","158","171335"
"04-24-2023 11:28 AM","DOMESTIC DISPUTE","700 BLOCK ORCHID AVE","19","171343"
"04-24-2023 11:27 AM","DISABLED VEHICLE","7700 BLOCK W COURTNEY CAMPBELL CSWY","117","171329"
"04-24-2023 11:25 AM","DOMESTIC DISPUTE","2100 BLOCK W RIO VISTA AVE","56","171338"
"04-24-2023 11:24 AM","INFORMATION","3800 BLOCK W TAMPA BAY BLVD","89","171337"
"04-24-2023 11:19 AM","INFORMATION","3500 BLOCK E 33RD AVE","99","171330"
"04-24-2023 11:18 AM","BUILDING CHECK","2900 BLOCK N MASSACHUSETTS AVE","105","171327"
"04-24-2023 11:17 AM","RESID/COMMERIAL ALARM","400 BLOCK S HOWARD AVE","160","171323"
"04-24-2023 11:16 AM","MISDEMEANOR","N CENTRAL AVE / E HENDERSON AVE","125","171325"
"04-24-2023 11:16 AM","VEHICLE STOP/TRAFFIC","N FLORIDA AVE / W WATERS AVE","36","171324"
"04-24-2023 11:09 AM","AGG ASSAULT/BATTERY","3800 BLOCK N 22ND ST","97","171287"
"04-24-2023 11:06 AM","STREET OBSTRUCTION","SR 60 W SB / COURTNEY CAMPBELL SR 60 RAMP","117","171308"
"04-24-2023 11:06 AM","MISDEMEANOR","3800 BLOCK S DALE MABRY HWY","178","171304"
"04-24-2023 11:04 AM","INFORMATION","3800 BLOCK W TAMPA BAY BLVD","89","171318"
"04-24-2023 11:04 AM","TRAFFIC CRASH","W BAY TO BAY BLVD / S CONCORDIA AVE","175","171317"
"04-24-2023 11:03 AM","HIT AND RUN","2300 BLOCK W LA SALLE ST","138","171301"
"04-24-2023 11:03 AM","BUILDING CHECK","10400 BLOCK N NEBRASKA AVE","11","171314"
"04-24-2023 11:02 AM","INFORMATION","N CENTRAL AVE / E HENDERSON AVE","125","171313"
"04-24-2023 11:01 AM","GRAND THEFT","2000 BLOCK E RAMPART ST","30","171312"
"04-24-2023 10:57 AM","BUILDING CHECK","3900 BLOCK W HILLSBOROUGH AVE","64","171309"
"04-24-2023 10:56 AM","TRAFFIC CRASH","N HOWARD AVE / I275","138","171298"
"04-24-2023 10:54 AM","INFORMATION","1700 BLOCK E BUSCH BLVD","30","171307"
"04-24-2023 10:53 AM","INFORMATION","3800 BLOCK W TAMPA BAY BLVD","89","171306"
"04-24-2023 10:52 AM","MISDEMEANOR","18200 BLOCK PARADISE POINT DR","260","171303"
"04-24-2023 10:46 AM","INFORMATION","6000 BLOCK S HIMES AVE","192","171241"
"04-24-2023 10:46 AM","INFORMATION","800 BLOCK N FRANKLIN ST","143","171292"
"04-24-2023 10:46 AM","NATURE UNKNOWN","10100 BLOCK N 11TH ST","12","171288"
"04-24-2023 10:45 AM","TRAFFIC CRASH","N ARMENIA AVE / I275 N HOWARDARMENIA RAMP","137","171296"
"04-24-2023 10:45 AM","MISDEMEANOR","1500 BLOCK E FOWLER AVE","5","171294"
"04-24-2023 10:44 AM","NATURE UNKNOWN","200 BLOCK COMO ST","133","171295"
"04-24-2023 10:43 AM","MENTALLY ILL PERSON","GRID ONLY","172","171291"
"04-24-2023 10:41 AM","MISDEMEANOR","1000 BLOCK E PATTERSON ST","45","171279"
"04-24-2023 10:40 AM","DISTURBANCE","1800 BLOCK N 34TH ST","130","171250"
"04-24-2023 10:38 AM","NATURE UNKNOWN","1100 BLOCK N 50TH ST","134","171284"
"04-24-2023 10:37 AM","VEHICLE STOP/TRAFFIC","W CYPRESS ST / N WEST SHORE BLVD","118","171289"
"04-24-2023 10:36 AM","DISTURBANCE","1900 BLOCK E 24TH AVE","108","171276"
"04-24-2023 10:32 AM","INFORMATION","4400 BLOCK W BAY VISTA AVE","180","171286"
"04-24-2023 10:31 AM","NATURE UNKNOWN","3400 BLOCK JEAN CIR","165","171283"
"04-24-2023 10:29 AM","INFORMATION","3800 BLOCK W TAMPA BAY BLVD","89","171282"
"04-24-2023 10:25 AM","ANIMAL NUISANCE","900 BLOCK E TWIGGS ST","141","171273"
"04-24-2023 10:25 AM","PARKING VIOLATION","8100 BLOCK N 17TH ST","39","171274"
"04-24-2023 10:22 AM","BUILDING CHECK","4900 BLOCK W KENNEDY BLVD","149","171272"
"04-24-2023 10:19 AM","BUILDING CHECK","2200 BLOCK E HENRY AVE","61","171271"
"04-24-2023 10:18 AM","INFORMATION","3800 BLOCK W TAMPA BAY BLVD","89","171270"
"04-24-2023 10:17 AM","NATURE UNKNOWN","1700 BLOCK E HILLSBOROUGH AVE","60","171266"
"04-24-2023 10:17 AM","INFORMATION","W BOUGAINVILLEA AVE / N BOULEVARD","9","171269"
"04-24-2023 10:17 AM","INFORMATION","5200 BLOCK N 45TH ST","75","171268"
"04-24-2023 10:17 AM","NATURE UNKNOWN","9800 BLOCK MORRISTOWN ST","19","171263"
"04-24-2023 10:16 AM","MISDEMEANOR","7000 BLOCK ADAMO DR","134","171220"
"04-24-2023 10:15 AM","INFORMATION","3800 BLOCK W TAMPA BAY BLVD","89","171267"
"04-24-2023 10:14 AM","ASSAULT/BATTERY","3800 BLOCK N 22ND ST","97","171264"
"04-24-2023 10:11 AM","INFORMATION","3800 BLOCK W TAMPA BAY BLVD","89","171265"
"04-24-2023 10:06 AM","POLICE SERVICE CALL","8200 BLOCK N 17TH ST","39","171235"
"04-24-2023 10:06 AM","BUILDING CHECK","8300 BLOCK N MULBERRY ST","38","171261"
"04-24-2023 10:05 AM","NATURE UNKNOWN","3700 BLOCK W NEPTUNE ST","165","171259"
"04-24-2023 10:04 AM","FOLLOW UP INVESTIGATION","4400 BLOCK N FLORIDA AVE","82","171252"
"04-24-2023 10:00 AM","INFORMATION","10600 BLOCK N 30TH ST","14","171240"
"04-24-2023 10:00 AM","BUILDING CHECK","4400 BLOCK W BAY VISTA AVE","180","171254"
"04-24-2023 10:00 AM","DISTURBANCE","2300 BLOCK W LINEBAUGH AVE","16","171232"
"04-24-2023 09:59 AM","RESID/COMMERIAL ALARM","4800 BLOCK W BEACHWAY DR","163","171243"
"04-24-2023 09:58 AM","AGG ASSAULT/BATTERY","N ROME AVE / W COMANCHE AVE","56","171249"
"04-24-2023 09:57 AM","BUILDING CHECK","4700 BLOCK W MONTGOMERY AVE","190","171247"
"04-24-2023 09:56 AM","VEHICLE STOP/TRAFFIC","N FLORIDA AVE / W SLIGH AVE","50","171245"
"04-24-2023 09:52 AM","DISABLED VEHICLE","ADAMO DR / N 19TH ST","146","171222"
"04-24-2023 09:51 AM","HIT AND RUN","S DALE MABRY HWY / W GANDY BLVD","187","171242"
"04-24-2023 09:46 AM","MISDEMEANOR","1500 BLOCK E FOWLER AVE","5","171234"
"04-24-2023 09:42 AM","LOST/FOUND PROPERTY","1500 BLOCK SPRUCE TER","124","171236"
"04-24-2023 09:41 AM","INFORMATION","1700 BLOCK E 97TH AVE","21","171218"
"04-24-2023 09:35 AM","INFORMATION","3200 BLOCK HENDERSON BLVD","158","171229"
"04-24-2023 09:34 AM","VEHICLE STOP/TRAFFIC","W SLIGH AVE / N HIGHLAND AVE","50","171230"
"04-24-2023 09:34 AM","DISTURBANCE","900 BLOCK E MCBERRY ST","71","171225"
"04-24-2023 09:33 AM","INFORMATION","400 BLOCK N FRANKLIN ST","143","171228"
"04-24-2023 09:32 AM","VEHICLE STOP/TRAFFIC","E SLIGH AVE / N FLORIDA AVE","50","171226"
"04-24-2023 09:29 AM","STOLEN VEHICLE","3800 BLOCK N 22ND ST","97","171209"
"04-24-2023 09:28 AM","DOMESTIC DISPUTE","N ROME AVE / W CHESTNUT ST","123","171134"
"04-24-2023 09:22 AM","JUVENILE CURFEW LAW","3500 BLOCK E 33RD AVE","99","171217"
"04-24-2023 09:21 AM","MISSING PERS/RUNAWAY","2400 BLOCK S HIMES AVE","170","171216"
"04-24-2023 09:21 AM","BUILDING CHECK","1700 BLOCK S MANHATTAN AVE","169","171215"
"04-24-2023 09:19 AM","VEHICLE STOP/TRAFFIC","W SLIGH AVE / N ADAH AVE","49","171214"
"04-24-2023 09:16 AM","NARCOTIC LAW (DRUGS)","17400 BLOCK COMMERCE PARK BLVD","238","171213"
"04-24-2023 09:14 AM","POLICE SERVICE CALL","3900 BLOCK N RIDGE AVE","93","171211"
"04-24-2023 09:13 AM","RESID/COMMERIAL ALARM","300 BLOCK WESTSHORE PLZ","149","171192"
"04-24-2023 09:11 AM","MISDEMEANOR","1700 BLOCK N DALE MABRY HWY","121","171203"
"04-24-2023 09:11 AM","BUILDING CHECK","2000 BLOCK E ESKIMO AVE","30","171204"
"04-24-2023 09:10 AM","NARCOTIC LAW (DRUGS)","5000 BLOCK N SUWANEE AVE","70","171202"
"04-24-2023 09:07 AM","INFORMATION","9800 BLOCK N NEBRASKA AVE","19","171200"
"04-24-2023 09:06 AM","POLICE SERVICE CALL","700 BLOCK E HAMILTON AVE","44","171201"
"04-24-2023 09:06 AM","MISDEMEANOR","5700 BLOCK S DALE MABRY HWY","192","171062"
"04-24-2023 09:05 AM","DISABLED VEHICLE","W WATERS AVE / N JONES AVE","34","171176"
"04-24-2023 09:05 AM","VEHICLE STOP/TRAFFIC","W SLIGH AVE / N BREVARD AVE","49","171199"
"04-24-2023 09:03 AM","VEHICLE STOP/TRAFFIC","E TWIGGS ST / N 12TH ST","142","171198"
