"DISPATCHED","DESCRIPTION","ADDRESS","GRID","REPORT"
"04-23-2023 12:59 PM","INFORMATION","200 BLOCK S TREASURE DR","149","170131"
"04-23-2023 12:55 PM","DISTURBANCE","7500 BLOCK N FLORIDA AVE","43","170069"
"04-23-2023 12:53 PM","INFORMATION","800 BLOCK S BERMUDA BLVD","147","170125"
"04-23-2023 12:53 PM","INFORMATION","4000 BLOCK W MONTGOMERY TER","191","170108"
"04-23-2023 12:51 PM","BUILDING CHECK","400 BLOCK N DALE MABRY HWY","152","170124"
"04-23-2023 12:48 PM","INFORMATION","4100 BLOCK E LINEBAUGH AVE","23","170090"
"04-23-2023 12:48 PM","DISTURBANCE","4700 BLOCK W SPRUCE ST","118","170109"
"04-23-2023 12:47 PM","INFORMATION","W PALM AVE / N HIGHLAND AVE","115","170111"
"04-23-2023 12:46 PM","MENTALLY ILL PERSON","GRID ONLY","61","170095"
"04-23-2023 12:45 PM","STOLEN VEHICLE","8500 BLOCK N 50TH ST","33","170117"
"04-23-2023 12:45 PM","NATURE UNKNOWN","4100 BLOCK DOLPHIN DR","55","170079"
"04-23-2023 12:45 PM","INFORMATION","900 BLOCK N CENTRAL AVE","141","170119"
"04-23-2023 12:43 PM","MISSING PERS/RUNAWAY","2100 BLOCK W ERNA DR","79","170118"
"04-23-2023 12:42 PM","NATURE UNKNOWN","300 BLOCK E MADISON ST","143","170113"
"04-23-2023 12:41 PM","RESID/COMMERIAL ALARM","1700 BLOCK N HIMES AVE","121","170115"
"04-23-2023 12:37 PM","MISDEMEANOR","16000 BLOCK TAMPA PALMS BLVD W","233","170112"
"04-23-2023 12:35 PM","VEHICLE STOP/TRAFFIC","E ZACK ST / N JEFFERSON ST","143","170110"
"04-23-2023 12:32 PM","MISDEMEANOR","3100 BLOCK N 50TH ST","111","170107"
"04-23-2023 12:29 PM","TRAFFIC CRASH","N ASHLEY DR / W KENNEDY BLVD","144","170094"
"04-23-2023 12:28 PM","MENTALLY ILL PERSON","GRID ONLY","63","170102"
"04-23-2023 12:28 PM","BUILDING CHECK","8300 BLOCK GALBRAITH RD","242","170106"
"04-23-2023 12:25 PM","DISTURBANCE","7900 BLOCK W COURTNEY CAMPBELL CSWY","117","170105"
"04-23-2023 12:23 PM","GRAND THEFT","3800 BLOCK N 22ND ST","97","170103"
"04-23-2023 12:19 PM","DISTURBANCE","2700 BLOCK E 22ND AVE","109","170099"
"04-23-2023 12:14 PM","FIRE","6000 BLOCK N FLORIDA AVE","57","170096"
"04-23-2023 12:10 PM","BUILDING CHECK","N HIMES AVE / W HILLSBOROUGH AVE","65","170093"
"04-23-2023 12:09 PM","VEHICLE STOP/TRAFFIC","COMMERCE PARK BLVD / PRIMROSE LAKE CIR","238","170092"
"04-23-2023 12:09 PM","MISDEMEANOR","2700 BLOCK W HILLSBOROUGH AVE","66","170084"
"04-23-2023 12:08 PM","LANDLORD/TENANT DISPUTE","1700 BLOCK W SAINT ISABEL ST","92","170076"
"04-23-2023 12:06 PM","NATURE UNKNOWN","8500 BLOCK N 16TH ST","30","170042"
"04-23-2023 12:05 PM","INFORMATION","3700 BLOCK W SPRUCE ST","121","170087"
"04-23-2023 12:05 PM","AUTO BURGLARY","500 BLOCK E ROSS AVE","116","170059"
"04-23-2023 12:03 PM","VEHICLE STOP/TRAFFIC","E KENNEDY BLVD / N MERIDIAN AVE","142","170085"
"04-23-2023 12:00 PM","VEHICLE STOP/TRAFFIC","BRUCE B DOWNS BLVD / PALM SPRINGS BLVD","227","170083"
"04-23-2023 11:59 AM","MARINE PATROL","300 BLOCK S FRANKLIN ST","144","170082"
"04-23-2023 11:56 AM","INFORMATION","5200 BLOCK CYPRESS PRESERVE DR","226","170077"
"04-23-2023 11:55 AM","TELEPHONE VIOLATION","2200 BLOCK E 25TH AVE","109","170071"
"04-23-2023 11:54 AM","INFORMATION","4500 BLOCK S SHAMROCK RD","183","170030"
"04-23-2023 11:50 AM","RESID/COMMERIAL ALARM","17500 BLOCK PRESERVE WALK LN","240","170070"
"04-23-2023 11:48 AM","BUILDING CHECK","500 BLOCK E HUGH ST","106","170038"
"04-23-2023 11:47 AM","PETTY THEFT","6300 BLOCK S ADELIA AVE","196","170067"
"04-23-2023 11:46 AM","FOLLOW UP INVESTIGATION","900 BLOCK E ANNIE ST","20","170051"
"04-23-2023 11:42 AM","BOATING VIOLATION","600 BLOCK CHANNELSIDE DR","145","170063"
"04-23-2023 11:41 AM","DISTURBANCE","5100 BLOCK POINTE OF TAMPA WAY","237","170061"
"04-23-2023 11:39 AM","BUILDING CHECK","8600 BLOCK HUNTERS VILLAGE RD","242","170060"
"04-23-2023 11:35 AM","BUILDING CHECK","10100 BLOCK CROSS CREEK BLVD","253","170058"
"04-23-2023 11:35 AM","MISDEMEANOR","1700 BLOCK E BUSCH BLVD","30","170057"
"04-23-2023 11:34 AM","RESID/COMMERIAL ALARM","5000 BLOCK N 40TH ST","75","170056"
"04-23-2023 11:33 AM","MISDEMEANOR","3600 BLOCK W GANDY BLVD","185","170020"
"04-23-2023 11:33 AM","ABANDONED VEHICLE","N ELMORE AVE / E ADALEE ST","106","170025"
"04-23-2023 11:31 AM","MENTALLY ILL PERSON","GRID ONLY","117","170052"
"04-23-2023 11:28 AM","VEHICLE STOP/TRAFFIC","3100 BLOCK E 8TH AVE","130","170049"
"04-23-2023 11:27 AM","FOLLOW UP INVESTIGATION","3800 BLOCK N TAMPA ST","94","170037"
"04-23-2023 11:26 AM","HIT AND RUN","N ROME AVE / W FERRIS AVE","79","170045"
"04-23-2023 11:26 AM","DISTURBANCE","4700 BLOCK W LAWN AVE","180","170013"
"04-23-2023 11:22 AM","MISDEMEANOR","W KENNEDY BLVD / N DALE MABRY HWY","157","170048"
"04-23-2023 11:13 AM","MISDEMEANOR","E 7TH AVE / N TALIAFERRO AVE","126","170044"
"04-23-2023 10:55 AM","TRAFFIC CRASH","7700 BLOCK W COURTNEY CAMPBELL CSWY","117","170035"
"04-23-2023 10:53 AM","DISTURBANCE","3100 BLOCK E 8TH AVE","130","170023"
"04-23-2023 10:52 AM","INFORMATION","2400 BLOCK E YUKON ST","31","170032"
"04-23-2023 10:50 AM","RESID/COMMERIAL ALARM","5500 BLOCK N HIMES AVE","65","170029"
"04-23-2023 10:49 AM","MENTALLY ILL PERSON","GRID ONLY","20","170028"
"04-23-2023 10:49 AM","FOLLOW UP INVESTIGATION","100 BLOCK E KENTUCKY AVE","94","170022"
"04-23-2023 10:48 AM","FIRE","I4 / I275","116","170027"
"04-23-2023 10:48 AM","DOMESTIC DISPUTE","800 BLOCK S POINSETTIA DR","165","170021"
"04-23-2023 10:42 AM","HIT AND RUN","N MITCHELL AVE / E FOREST AVE","106","170004"
"04-23-2023 10:41 AM","STOLEN VEHICLE","100 BLOCK BALTIC CIR","133","170012"
"04-23-2023 10:37 AM","BUILDING CHECK","600 BLOCK CHANNELSIDE DR","145","170019"
"04-23-2023 10:37 AM","INFORMATION","E 15TH AVE / N NEBRASKA AVE","116","170010"
"04-23-2023 10:37 AM","RESID/COMMERIAL ALARM","600 BLOCK S ARMENIA AVE","159","170018"
"04-23-2023 10:36 AM","FIRE","900 BLOCK E ANNIE ST","20","170014"
"04-23-2023 10:36 AM","BUILDING CHECK","18200 BLOCK CRANE NEST DR","240","170017"
"04-23-2023 10:34 AM","BUILDING CHECK","4900 BLOCK W KENNEDY BLVD","149","170016"
"04-23-2023 10:33 AM","BUILDING CHECK","200 BLOCK BAYSHORE BLVD","162","170015"
"04-23-2023 10:31 AM","INFORMATION","9400 BLOCK N 13TH ST","20","170009"
"04-23-2023 10:28 AM","FELONY","2800 BLOCK VALENTINE CT","124","170007"
"04-23-2023 10:26 AM","MARINE PATROL","1300 BLOCK SEVERN AVE","133","170008"
"04-23-2023 10:20 AM","BUILDING CHECK","4500 BLOCK S HIMES AVE","185","170005"
"04-23-2023 10:20 AM","BUILDING CHECK","17500 BLOCK NORTH PALMS VILLAGE PL","250","170003"
"04-23-2023 10:20 AM","FELONY","4400 BLOCK W GANDY BLVD","183","170002"
"04-23-2023 10:18 AM","INFORMATION","700 BLOCK E FLORIBRASKA AVE","106","170000"
"04-23-2023 10:15 AM","DISTURBANCE","1800 BLOCK E OKALOOSA AVE","30","169992"
"04-23-2023 10:15 AM","INFORMATION","700 BLOCK E BIRD ST","37","170001"
"04-23-2023 10:15 AM","TRAFFIC CRASH","E BROREIN ST / S FLORIDA AVE","144","169989"
"04-23-2023 10:11 AM","ASSAULT/BATTERY","4000 BLOCK N 50TH ST","100","169993"
"04-23-2023 10:07 AM","RESID/COMMERIAL ALARM","4200 BLOCK E ALENE DR","40","169996"
"04-23-2023 09:58 AM","AUTO BURGLARY","3600 BLOCK W DALE AVE","158","169987"
"04-23-2023 09:57 AM","NATURE UNKNOWN","8600 BLOCK N 14TH ST","29","169991"
"04-23-2023 09:56 AM","DOMESTIC DISPUTE","4200 BLOCK E TEMPLE HEIGHTS RD","23","169990"
"04-23-2023 09:55 AM","DISTURBANCE","11600 BLOCK N 15TH ST","5","169988"
"04-23-2023 09:53 AM","BUILDING CHECK","8200 BLOCK N NEBRASKA AVE","38","169986"
"04-23-2023 09:51 AM","BUILDING CHECK","S MANHATTAN AVE / W MCCOY ST","196","169985"
"04-23-2023 09:50 AM","VEHICLE STOP/TRAFFIC","5100 BLOCK PALM SPRINGS BLVD","237","169984"
"04-23-2023 09:48 AM","DISTURBANCE","200 BLOCK W WATERS AVE","36","169982"
"04-23-2023 09:46 AM","BUILDING CHECK","600 BLOCK CHANNELSIDE DR","145","169983"
"04-23-2023 09:37 AM","NARCOTIC LAW (DRUGS)","N TALIAFERRO AVE / E COLUMBUS DR","116","169978"
"04-23-2023 09:36 AM","BUILDING CHECK","3300 BLOCK BAYSHORE BLVD","179","169977"
"04-23-2023 09:36 AM","LOST/FOUND PROPERTY","8200 BLOCK N FLORIDA AVE","36","169976"
"04-23-2023 09:33 AM","VEHICLE STOP/TRAFFIC","E OSBORNE AVE / N 17TH ST","84","169975"
"04-23-2023 09:30 AM","NATURE UNKNOWN","3700 BLOCK W CASS ST","136","169974"
"04-23-2023 09:28 AM","BUILDING CHECK","100 BLOCK COLUMBIA DR","133","169972"
"04-23-2023 09:28 AM","BUILDING CHECK","N 42ND ST / E LAKE AVE","100","169971"
"04-23-2023 09:28 AM","NATURE UNKNOWN","N FLORIDA AVE / E ROSS AVE","115","169965"
"04-23-2023 09:27 AM","HIT AND RUN","1100 BLOCK E KENNEDY BLVD","142","169949"
"04-23-2023 09:25 AM","INFORMATION","E 20TH AVE / N NEBRASKA AVE","106","169970"
"04-23-2023 09:24 AM","MARINE PATROL","100 BLOCK COLUMBIA DR","133","169969"
"04-23-2023 09:22 AM","NATURE UNKNOWN","800 BLOCK E BAKER ST","95","169961"
"04-23-2023 09:21 AM","RESID/COMMERIAL ALARM","200 BLOCK WESTSHORE PLZ","149","169964"
"04-23-2023 09:21 AM","INFORMATION","N MARION ST / E ESTELLE ST","125","169966"
"04-23-2023 09:19 AM","RESID/COMMERIAL ALARM","1000 BLOCK E 7TH AVE","127","169963"
"04-23-2023 09:17 AM","DISTURBANCE","8300 BLOCK N NEBRASKA AVE","38","169959"
"04-23-2023 09:16 AM","BUILDING CHECK","300 BLOCK WESTSHORE PLZ","149","169962"
"04-23-2023 09:14 AM","GRAND THEFT","3800 BLOCK W HILLSBOROUGH AVE","64","169957"
"04-23-2023 09:14 AM","VEHICLE STOP/TRAFFIC","E LOUISE AVE / N 14TH ST","96","169958"
"04-23-2023 09:12 AM","NATURE UNKNOWN","500 BLOCK E SPARKMAN AVE","116","169954"
"04-23-2023 09:11 AM","BUILDING CHECK","N 9TH ST / E WILMA ST","20","169953"
"04-23-2023 09:06 AM","MENTALLY ILL PERSON","GRID ONLY","27","169952"
"04-23-2023 09:03 AM","BUILDING CHECK","1000 BLOCK SEVERN AVE","133","169951"
"04-23-2023 09:02 AM","ASSAULT/BATTERY","10000 BLOCK N FLORIDA AVE","10","169948"
"04-23-2023 09:02 AM","PARKING VIOLATION","1900 BLOCK N HESPERIDES ST","119","169950"
"04-23-2023 08:53 AM","VEHICLE STOP/TRAFFIC","SELMON EXPY / W BAY TO BAY BLVD","175","169947"
"04-23-2023 08:52 AM","INFORMATION","N 15TH ST / E HILLSBOROUGH AVE","71","169945"
"04-23-2023 08:48 AM","MISDEMEANOR","1700 BLOCK E 9TH AVE","128","169941"
"04-23-2023 08:48 AM","FOLLOW UP INVESTIGATION","1 TAMPA GENERAL CIR","133","169936"
"04-23-2023 08:47 AM","VEHICLE STOP/TRAFFIC","GRANDE ISLE DR / CROSS CREEK BLVD","260","169944"
"04-23-2023 08:46 AM","BUILDING CHECK","700 BLOCK S ALBANY AVE","166","169943"
"04-23-2023 08:45 AM","INFORMATION","1400 BLOCK N 16TH ST","128","169942"
"04-23-2023 08:42 AM","INFORMATION","1900 BLOCK N OLA AVE","115","169940"
"04-23-2023 08:29 AM","AUTO BURGLARY","1200 BLOCK E FRIERSON AVE","71","169931"
"04-23-2023 08:29 AM","FOLLOW UP INVESTIGATION","3000 BLOCK W DR MARTIN LUTHER KING JR BLVD","78","169929"
"04-23-2023 08:26 AM","DOMESTIC DISPUTE","8500 BLOCK BRUSHLEAF WAY","247","169933"
"04-23-2023 08:25 AM","BUILDING CHECK","4400 BLOCK W GANDY BLVD","186","169934"
"04-23-2023 08:22 AM","BUILDING CHECK","2800 BLOCK E FOWLER AVE","6","169930"
"04-23-2023 08:15 AM","ABANDONED VEHICLE","500 BLOCK BOSPHOROUS AVE","133","169928"
"04-23-2023 08:09 AM","INFORMATION","900 BLOCK N FRANKLIN ST","140","169925"
"04-23-2023 08:05 AM","NATURE UNKNOWN","7200 BLOCK N 21ST ST","46","169922"
"04-23-2023 08:04 AM","BUILDING CHECK","1000 BLOCK SEVERN AVE","133","169924"
"04-23-2023 07:57 AM","AUTO BURGLARY","8400 BLOCK DEL REY CT","33","169917"
"04-23-2023 07:52 AM","TRAFFIC CRASH","E 7TH AVE / N 26TH ST","129","169919"
"04-23-2023 07:50 AM","TRAFFIC CRASH","E BOUGAINVILLEA AVE / N LANTANA AVE","12","169918"
"04-23-2023 07:42 AM","MISDEMEANOR","200 BLOCK BAYSHORE BLVD","162","169916"
"04-23-2023 07:31 AM","VEHICLE STOP/TRAFFIC","SELMON EXPY / W BAY TO BAY BLVD","175","169913"
"04-23-2023 07:27 AM","INFORMATION","3000 BLOCK W DR MARTIN LUTHER KING JR BLVD","78","169912"
"04-23-2023 07:20 AM","DISABLED VEHICLE","E JACKSON ST / N MERIDIAN AVE","145","169910"
"04-23-2023 07:20 AM","BUILDING CHECK","7100 BLOCK S WEST SHORE BLVD","199","169909"
"04-23-2023 07:19 AM","RESID/COMMERIAL ALARM","2900 BLOCK W KENNEDY BLVD","159","169907"
"04-23-2023 07:16 AM","BUILDING CHECK","1000 BLOCK N BOULEVARD","139","169906"
"04-23-2023 07:08 AM","BUILDING CHECK","1900 BLOCK N OLA AVE","115","169902"
"04-23-2023 07:04 AM","BUILDING CHECK","4100 BLOCK W HILLSBOROUGH AVE","64","169901"
"04-23-2023 07:03 AM","RESID/COMMERIAL ALARM","2200 BLOCK S DALE MABRY HWY","169","169899"
"04-23-2023 07:02 AM","FOLLOW UP INVESTIGATION","3200 BLOCK E LOUISIANA AVE","74","169898"
"04-23-2023 06:59 AM","RESID/COMMERIAL ALARM","8400 BLOCK N 47TH ST","33","169891"
"04-23-2023 06:59 AM","DOMESTIC DISPUTE","8300 BLOCK N 10TH ST","38","169893"
"04-23-2023 06:52 AM","BUILDING CHECK","300 BLOCK N DALE MABRY HWY","152","169889"
"04-23-2023 06:46 AM","DISTURBANCE","4900 BLOCK E BUSCH BLVD","33","169886"
"04-23-2023 06:41 AM","MISDEMEANOR","1700 BLOCK N DALE MABRY HWY","121","169885"
"04-23-2023 06:38 AM","BUILDING CHECK","1500 BLOCK N DALE MABRY HWY","121","169883"
"04-23-2023 06:37 AM","ASSAULT/BATTERY","3200 BLOCK E LOUISIANA AVE","74","169879"
"04-23-2023 06:36 AM","BUILDING CHECK","2900 BLOCK W KENNEDY BLVD","159","169880"
"04-23-2023 06:31 AM","BUILDING CHECK","N FRANKLIN ST / E ZACK ST","143","169876"
"04-23-2023 06:28 AM","SUSPICIOUS PERSON","N MACDILL AVE / W TAMPA BAY BLVD","102","169875"
"04-23-2023 06:24 AM","BUILDING CHECK","E KENNEDY BLVD / N MARION ST","144","169874"
"04-23-2023 06:21 AM","DISTURBANCE","5000 BLOCK E 18TH AVE","111","169872"
"04-23-2023 06:16 AM","MISSING PERS/RUNAWAY","5600 BLOCK N ROME AVE","56","169854"
"04-23-2023 06:15 AM","BUILDING CHECK","700 BLOCK S DALE MABRY HWY","164","169871"
"04-23-2023 06:14 AM","BUILDING CHECK","N MARION ST / E TYLER ST","140","169869"
"04-23-2023 06:14 AM","BUILDING CHECK","2100 BLOCK E FOWLER AVE","5","169868"
"04-23-2023 06:14 AM","RESID/COMMERIAL ALARM","200 BLOCK E DAVIS BLVD","133","169865"
"04-23-2023 06:14 AM","TRAFFIC CONTROL","S DALE MABRY HWY / INTERBAY BLVD","196","169867"
"04-23-2023 06:12 AM","DISTURBANCE","CORD ST / E 18TH AVE","111","169851"
"04-23-2023 06:11 AM","MISDEMEANOR","100 BLOCK E CASS ST","140","169850"
"04-23-2023 06:09 AM","INFORMATION","400 BLOCK N ROME AVE","154","169857"
"04-23-2023 06:08 AM","NARCOTIC LAW (DRUGS)","2300 BLOCK E BUSCH BLVD","31","169836"
"04-23-2023 06:08 AM","BUILDING CHECK","500 BLOCK S HABANA AVE","159","169864"
"04-23-2023 06:03 AM","RESID/COMMERIAL ALARM","3700 BLOCK MIDTOWN DR","136","169860"
"04-23-2023 05:54 AM","BUILDING CHECK","1300 BLOCK W MAIN ST","124","169855"
"04-23-2023 05:52 AM","DISTURBANCE","E YUKON ST / N ORANGEVIEW AVE","32","169853"
"04-23-2023 05:50 AM","BUILDING CHECK","300 BLOCK S DALE MABRY HWY","157","169852"
"04-23-2023 05:45 AM","MISDEMEANOR","3400 BLOCK E LAKE AVE","99","169849"
"04-23-2023 05:36 AM","DISTURBANCE","3600 BLOCK N 54TH ST","101","169848"
"04-23-2023 05:33 AM","DISTURBANCE","E 19TH AVE / N 10TH ST","107","169846"
"04-23-2023 05:32 AM","DISTURBANCE","2300 BLOCK N 22ND ST","129","169842"
"04-23-2023 05:31 AM","DISTURBANCE","N 20TH ST / E ANNONA AVE","13","169847"
"04-23-2023 05:30 AM","DOMESTIC DISPUTE","4000 BLOCK N BRANCH AVE","82","169845"
"04-23-2023 05:26 AM","BUILDING CHECK","2200 BLOCK W KENNEDY BLVD","160","169844"
"04-23-2023 05:25 AM","BUILDING CHECK","4100 BLOCK JIM WALTER BLVD","120","169843"
"04-23-2023 05:16 AM","VEHICLE STOP/TRAFFIC","E SLIGH AVE / N FLORIDA AVE","50","169841"
"04-23-2023 05:01 AM","NATURE UNKNOWN","2200 BLOCK E LAKE AVE","98","169837"
"04-23-2023 04:41 AM","MENTALLY ILL PERSON","GRID ONLY","20","169833"
"04-23-2023 04:34 AM","BUILDING CHECK","100 BLOCK COLUMBIA DR","133","169832"
"04-23-2023 04:33 AM","ASSAULT/BATTERY","N 16TH ST / E 7TH AVE","128","169831"
"04-23-2023 04:32 AM","VEHICLE STOP/TRAFFIC","S MANHATTAN AVE / W GANDY BLVD","186","169830"
"04-23-2023 04:30 AM","MISSING PERS/RUNAWAY","1500 BLOCK E 8TH AVE","128","169826"
"04-23-2023 04:30 AM","RESID/COMMERIAL ALARM","18000 BLOCK RICHMOND PLACE DR","242","169827"
"04-23-2023 04:29 AM","MISDEMEANOR","1900 BLOCK E HILLSBOROUGH AVE","60","169799"
"04-23-2023 04:28 AM","INFORMATION","E EVA ST / N 42ND ST","23","169829"
"04-23-2023 04:25 AM","MISDEMEANOR","200 BLOCK W WATERS AVE","36","169818"
"04-23-2023 04:19 AM","DISTURBANCE","2200 BLOCK E 5TH AVE","129","169820"
"04-23-2023 04:18 AM","NATURE UNKNOWN","18000 BLOCK TROPICAL COVE DR","254","169823"
"04-23-2023 04:15 AM","BUILDING CHECK","3700 BLOCK HENDERSON BLVD","165","169821"
"04-23-2023 04:14 AM","INFORMATION","600 BLOCK S WILLOW AVE","161","169817"
"04-23-2023 04:11 AM","INFORMATION","20100 BLOCK BENDING CREEK PL","246","169796"
"04-23-2023 04:09 AM","INFORMATION","1600 BLOCK E 8TH AVE","128","169816"
"04-23-2023 04:07 AM","VEHICLE STOP/TRAFFIC","W KENNEDY BLVD / N OCCIDENT ST","149","169814"
"04-23-2023 04:06 AM","DISTURBANCE","2100 BLOCK W BUSCH BLVD","16","169805"
"04-23-2023 04:06 AM","STOLEN VEHICLE","10900 BLOCK BRITTANY LN","2","169739"
"04-23-2023 04:05 AM","BUILDING CHECK","3700 BLOCK HENDERSON BLVD","165","169813"
"04-23-2023 04:04 AM","CRIMINAL MISCHIEF","5000 BLOCK N COOLIDGE AVE","67","169810"
"04-23-2023 04:03 AM","RESID/COMMERIAL ALARM","5000 BLOCK BRIDGE ST","186","169812"
"04-23-2023 04:03 AM","BUILDING CHECK","7700 BLOCK W COURTNEY CAMPBELL CSWY","117","169811"
"04-23-2023 03:55 AM","MENTALLY ILL PERSON","GRID ONLY","51","169807"
"04-23-2023 03:54 AM","MENTALLY ILL PERSON","GRID ONLY","127","169806"
"04-23-2023 03:53 AM","VEHICLE STOP/TRAFFIC","N MOODY AVE / W KENNEDY BLVD","160","169808"
"04-23-2023 03:50 AM","TRAFFIC CRASH","N 16TH ST / E 7TH AVE","128","169804"
"04-23-2023 03:45 AM","MISDEMEANOR","900 BLOCK E HILLSBOROUGH AVE","59","169801"
"04-23-2023 03:45 AM","MISDEMEANOR","900 BLOCK E HILLSBOROUGH AVE","59","169723"
"04-23-2023 03:44 AM","VEHICLE STOP/TRAFFIC","W NORTH A ST / N HOWARD AVE","154","169800"
"04-23-2023 03:40 AM","TRAFFIC CRASH","300 BLOCK W HANNA AVE","50","169766"
"04-23-2023 03:40 AM","NATURE UNKNOWN","10300 BLOCK N MYRTLE ST","15","169797"
"04-23-2023 03:39 AM","VEHICLE STOP/TRAFFIC","N NEBRASKA AVE / E COLUMBUS DR","116","169798"
"04-23-2023 03:32 AM","VEHICLE STOP/TRAFFIC","W KENNEDY BLVD / S GARDENIA AVE","149","169793"
"04-23-2023 03:32 AM","VEHICLE STOP/TRAFFIC","E KENNEDY BLVD / N MERIDIAN AVE","142","169794"
"04-23-2023 03:31 AM","TRAFFIC LIGHT OUT","S 50TH ST / SELMON EXPY","135","169787"
"04-23-2023 03:31 AM","MENTALLY ILL PERSON","GRID ONLY","59","169780"
"04-23-2023 03:31 AM","VEHICLE STOP/TRAFFIC","E 7TH AVE / NUCCIO PKWY","127","169792"
"04-23-2023 03:29 AM","DOMESTIC DISPUTE","10100 BLOCK N ASTER AVE","12","169791"
"04-23-2023 03:28 AM","VEHICLE STOP/TRAFFIC","W GREEN ST / N ARMENIA AVE","122","169790"
"04-23-2023 03:25 AM","MENTALLY ILL PERSON","GRID ONLY","155","169788"
"04-23-2023 03:24 AM","DISTURBANCE","9300 BLOCK N ALBANY AVE","16","169656"
"04-23-2023 03:22 AM","DOMESTIC DISPUTE","15500 BLOCK PLANTATION OAKS DR","222","169786"
"04-23-2023 03:20 AM","VEHICLE STOP/TRAFFIC","W LEMON ST / N HOWARD AVE","154","169785"
"04-23-2023 03:20 AM","INFORMATION","400 BLOCK W KENNEDY BLVD","155","169784"
"04-23-2023 03:19 AM","DISTURBANCE","2200 BLOCK W HORATIO ST","160","169781"
"04-23-2023 03:18 AM","VEHICLE STOP/TRAFFIC","W GREEN ST / N ARMENIA AVE","122","169783"
"04-23-2023 03:18 AM","VEHICLE STOP/TRAFFIC","4200 BLOCK S DALE MABRY HWY","178","169782"
"04-23-2023 03:18 AM","HIT AND RUN","E WASHINGTON ST / S 50TH ST","131","169776"
"04-23-2023 03:18 AM","PETTY THEFT","11600 BLOCK N 15TH ST","5","169777"
"04-23-2023 03:17 AM","DISTURBANCE","8500 BLOCK HUNTERS VILLAGE RD","242","169779"
"04-23-2023 03:12 AM","FOLLOW UP INVESTIGATION","8400 BLOCK N 15TH ST","29","169773"
"04-23-2023 03:11 AM","VEHICLE STOP/TRAFFIC","W KENNEDY BLVD / N TRASK ST","156","169778"
"04-23-2023 03:10 AM","DISTURBANCE","900 BLOCK N FRANKLIN ST","140","169775"
"04-23-2023 03:10 AM","VEHICLE STOP/TRAFFIC","W NORTH B ST / N HOWARD AVE","154","169774"
"04-23-2023 03:08 AM","DISTURBANCE","7900 BLOCK LAKESHORE DR","40","169761"
"04-23-2023 03:07 AM","MISDEMEANOR","1200 BLOCK E KENNEDY BLVD","145","169752"
"04-23-2023 03:04 AM","AIDED CASE","GRID ONLY","127","169759"
"04-23-2023 03:04 AM","VEHICLE STOP/TRAFFIC","I275 / EXIT 39B I275 MEMORIAL HWY","149","169771"
"04-23-2023 03:03 AM","BUILDING CHECK","3200 BLOCK N 48TH ST","111","169770"
"04-23-2023 03:02 AM","DISTURBANCE","700 BLOCK E 7TH AVE","126","169769"
"04-23-2023 03:02 AM","BUILDING CHECK","2300 BLOCK W CHESTNUT ST","123","169746"
"04-23-2023 03:01 AM","SUSPICIOUS PERSON","N 48TH ST / MELBURNE BLVD","111","169767"
"04-23-2023 02:59 AM","BUILDING CHECK","N 15TH ST / E 7TH AVE","127","169765"
"04-23-2023 02:59 AM","VEHICLE STOP/TRAFFIC","W CLEVELAND ST / S HOWARD AVE","160","169764"
"04-23-2023 02:58 AM","DISTURBANCE","11600 BLOCK N 51ST ST","8","169755"
"04-23-2023 02:57 AM","LOST/FOUND PROPERTY","N 22ND ST / COLBY LN","13","169763"
"04-23-2023 02:57 AM","VEHICLE STOP/TRAFFIC","1700 BLOCK N NEBRASKA AVE","126","169762"
"04-23-2023 02:55 AM","AGG ASSAULT/BATTERY","200 BLOCK E STRATFORD AVE","95","169760"
"04-23-2023 02:51 AM","SUSPICIOUS PERSON","5100 BLOCK E 20TH AVE","132","169757"
"04-23-2023 02:49 AM","DISTURBANCE","W OAK AVE / MARKET ST","115","169742"
"04-23-2023 02:49 AM","NATURE UNKNOWN","8600 BLOCK N 10TH ST","29","169756"
"04-23-2023 02:49 AM","VEHICLE STOP/TRAFFIC","W SWANN AVE / S TAMPANIA AVE","166","169758"
"04-23-2023 02:47 AM","INFORMATION","E KENNEDY BLVD / SELMON EXPY","145","169754"
"04-23-2023 02:45 AM","ASSAULT/BATTERY","2100 BLOCK W ABDELLA ST","92","169749"
"04-23-2023 02:44 AM","VEHICLE STOP/TRAFFIC","CHANNELSIDE DR / E CUMBERLAND AVE","145","169753"
"04-23-2023 02:43 AM","VEHICLE STOP/TRAFFIC","W KENNEDY BLVD / N WEST SHORE BLVD","149","169751"
"04-23-2023 02:41 AM","MISDEMEANOR","8300 BLOCK N FLORIDA AVE","37","169715"
"04-23-2023 02:41 AM","MISDEMEANOR","2500 BLOCK E FOWLER AVE","6","169683"
"04-23-2023 02:38 AM","RESID/COMMERIAL ALARM","9100 BLOCK N NEBRASKA AVE","29","169748"
"04-23-2023 02:35 AM","FIGHT","8200 BLOCK N NEBRASKA AVE","38","169745"
"04-23-2023 02:35 AM","VEHICLE STOP/TRAFFIC","S ARMENIA AVE / W DE LEON ST","159","169744"
"04-23-2023 02:35 AM","FIGHT","1600 BLOCK E 7TH AVE","128","169743"
"04-23-2023 02:34 AM","FOLLOW UP INVESTIGATION","3000 BLOCK W DR MARTIN LUTHER KING JR BLVD","78","169741"
